title,android,ios,twitchid,twitter
Free Fire,com.dts.freefireth,1300146617,502732,FreeFireBR
8 Ball Pool,com.miniclip.eightballpool,543186831,491851,8ballpool
Clash of Clans,com.supercell.clashofclans,529479190,73914,ClashofClans
PUBG MOBILE,com.tencent.ig,1330123889,505884,brPUBGMOBILE
Clash Royale,com.supercell.clashroyale,1053012308,491168,ClashRoyale
Brawl Stars,com.supercell.brawlstars,1229016807,497497,BrawlStarsBRC
Free Fire MAX,com.dts.freefiremax,,1936295306,FreeFireBR
Call of Duty®: Mobile,com.activision.callofduty.shooter,1287282214,512818,CODMobileBR
Boom Beach,com.supercell.boombeach,672150402,459916,BoomBeach
Pokémon UNITE,jp.pokemon.pokemonunite,1512321575,518379,PokeUNITEBrasil
League of Legends: Wild Rift,com.riotgames.league.wildrift,1480616990,514858,WildRiftBR
Arena of Valor,com.ngame.allstar.eu,1150318642,498302,ArenaofValor_BR
Rocket League Sideswipe,com.Psyonix.RL2D,1549027048,1270322937,RLSideswipe
Candy Crush Saga,com.king.candycrushsaga,553834731,369446,CandyCrushSaga
Roblox,com.roblox.client,431946152,23020,robloxdevrelptb
Mobile Legends: Bang Bang,com.mobile.legends,1160056295,494184,MLBBBR
Pokémon GO,com.nianticlabs.pokemongo,1094591345,490655,PokemonGOptBR
Coin Master,com.moonactive.coinmaster,406889139,1896311000,CoinMasterGame
Minecraft,com.mojang.minecraftpe,479516143,27471,
MARVEL SNAP,com.nvsgames.snap,1592081003,1743359147,marvelsnapbra
Yu-Gi-Oh! Master Duel,jp.konami.masterduel,1554247785,1119642287,
Lords Mobile: Guerra de Reinos,com.igg.android.lordsmobile,1071976327,492618,LordsMobile
Plants vs. Zombies™ 2,com.ea.game.pvz2_na,597986893,67719,PlantsvsZombies
Stumble Guys,com.kitkagames.fallbuddies,1541153375,1312214340,StumbleGuysGame
SimCity BuildIt,com.ea.game.simcitymobile_row,913292932,490124,SimCityBuildIt
Mario Kart Tour,com.nintendo.zaka,1293634699,503478,mariokarttourEN
Asphalt 9: Legends,com.gameloft.android.ANMP.GloftA9HM,805603214,1960201900,asphalt
Animal Crossing: Pocket Camp,com.nintendo.zaca,1179915619,492355,Pocket_Camp
Saint Seiya: Legend of Justice,com.wanda.saintseiya.gp.am,1619045235,391370434,SaintSeiyaLoJ
Motorsport Manager Mobile 3,com.playsportgames.mmm3,1346580540,510805,PlayMotorsport
